STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN,TOBS
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960101,-9999,45,33,43
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960102,-9999,51,43,47
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960103,-9999,56,35,35
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960104,-9999,56,25,25
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960105,-9999,38,23,31
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960106,-9999,39,31,36
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960107,-9999,39,19,20
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960108,-9999,21,15,17
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960109,-9999,26,13,22
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960110,-9999,38,20,32
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960111,-9999,41,20,27
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960112,-9999,37,27,33
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960113,-9999,33,27,31
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960114,-9999,39,26,26
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960115,-9999,37,26,28
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960116,-9999,58,28,36
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960117,-9999,53,36,42
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960118,-9999,60,40,45
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960119,-9999,73,21,21
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960120,-9999,21,12,14
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960121,-9999,37,14,31
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960122,-9999,42,19,20
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960123,-9999,45,19,27
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960124,-9999,62,26,54
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960125,-9999,54,18,18
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960126,-9999,45,18,26
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960127,-9999,55,26,35
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960128,-9999,40,17,27
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960129,-9999,44,25,33
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960130,-9999,44,33,38
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960131,-9999,41,28,28
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960201,-9999,32,24,28
GHCND:USC00404946,KNOXVILLE EXPERIMENTAL STATION TN US,19960202,-9999,35,23,23
